Dataset Name,Domain,Number of Variables at each time point,Number of Time Points,Time interval between points,Primary Source Repository,Link to Data,Detailed Description,Comments,Original Row #,Number of Versions,Reconciler Version,Reconciler Status,Reconciliation Notes,Informer,Monash TSER,UTSD,AutoGluon,Darts,TSLib,TSFM-Granite,TSFM-Core,TSFM-Bench,LOTSA,Prophet,NeuralForecast,Merlion,Aeon,DataLoop,NonUCR-UCI,UCR,UEA,MONSTER,Monash,Monash-Common,Monash-small,M1,M2,M3,M4,M5,M6,TSB-UAD MOMENT,TSB-UAD Full,Hackernoon,Monash Moment,Kaggle TS,FastML,Time-LLM,AutoTimes,ST-LLM,LLM-Time,LLM-Mixer,LLM-prompt,LLM-PS,One Fits All,Lag-Llama,Chronos-Pre,Chronos-Eval1,Chronos-Eval2,ChronosBolt-Pre,ChronosBolt-Eval1,ChronosBolt-Eval2,ChronosX-Eval2,ChronosX-Synth,ChronosX-Pre,ChronosX-Eval1,TS-RAGZSEval,TS-RAGPreT,Tempo,TimeBench,InstructTime,LPTM-Pre,LPTM-Eval,TS2Vec-Bench,TS2Vec-PreT,Automixer,TTM-PreT,TTM-Eval,TTM-Bench,TSMamba-ZS,TSMamba-FullShot,TimeGPT,GHPT,TimesNet,TimesFM,Time-MOE,Timer-XL,LightGTS,CiK,NSF HDR,MLCommons-EQ,@
ACSF1,Device (Energy Consumption),1 (Univariate),1460,"Not specified (derived from the ACS-F1 database with original sampling frequency of 0.1Hz, but potentially resampled or aggregated)","Appliance Consumption Signature Database (ACS-F1), timeseriesclassification.com, UCR Time Series Classification Archive",https://timeseriesclassification.com/description.php?Dataset=ACSF1,"This dataset comprises power consumption signatures of 10 categories of typical home appliances (e.g., mobile phones via chargers, coffee machines, fridges, computer stations, TVs, Hi-Fi systems, lamps, laptops, microwave ovens, printers). The recordings are characterized by long idle periods and high energy bursts when the appliance is active. The task associated with this dataset is appliance classification based on the provided power usage signatures.  The dataset is derived from ACS-F1, the first version of the Appliance Consumption Signature Database.  It consists of 200 instances in total: 100 for training and 100 for testing, each with 1460 data points representing power consumption readings.",Equal length series. 100 train/100 test instances.  10 classes. Donated by P. Schafer.,2,7,10,Reconciled on 2025-08-01 16:44:11,,,,,,Y,,,,,,,,Y,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,Y,,,,,
Adiac,Image,1,176,Not specified,"timeseriesclassification.com, cs.ucr.edu",Adiac Description,The task is to identify the species of diatoms based on the contour of the organism. The data was generated automatically from images. The dataset is named for the Automatic Diatom Identification and Classification project.,"Donated by A. Jalba. This is a 37-class problem with 390 training and 391 testing instances, making it one of the datasets with a higher number of classes in the archive.",3,6,10,Auto-reconciled (1 unique source) on 2025-08-01 16:44:51,,,,,,Y,,,,,,,,Y,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,Y,,,,,
Air Quality UC Irvine Repository (UCI),Air Quality,15,9358,Hourly,UCI Machine Learning Repository,DOI: 10.24432/C59K5F,"Contains hourly averaged responses from metal oxide chemical sensors embedded in an Air Quality Chemical Multisensor Device in a polluted area, recorded from March 2004 to February 2005.",Not explicitly stated in the original paper.,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AirPassengersDataset,Transportation,Univariate: #Passengers (Number of international airline passengers),144,Monthly,Time Series Data Library (TSDL),"Box, G. E. P., Jenkins, G. M., & Reinsel, G. C. (1970). Time series analysis: Forecasting and control. San Francisco: Holden-Day.  The ultimate source is often cited as the International Civil Aviation Organization (ICAO).","Monthly totals of international airline passengers from January 1949 to December 1960, as presented in Box, Jenkins, and Reinsel's 1970 book *Time series analysis: Forecasting and control*.  This dataset is frequently used for demonstrating time series analysis and forecasting techniques due to its clear trend and seasonality.",This is a classic and widely used time series dataset.,5,2,10,Reconciled on 2025-08-01 16:45:02,,,,,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AirQuality,"Environmental Science, Air Quality Monitoring","15 (including date/time, 5 ground truth gas concentrations, and sensor responses)",9358,1 Hour,UCI Machine Learning Repository,UCI Air Quality Data,"Contains hourly averaged responses from an array of 5 metal oxide chemical sensors deployed in a polluted area of an Italian city from March 2004 to February 2005. Includes ground truth concentrations for CO, Non-Metanic Hydrocarbons, Benzene, NOx, and NO2.","The dataset is known to contain missing values, which are tagged with a -200 value. It presents challenges like sensor drift and cross-sensitivities, making it a robust test case for models that can handle real-world sensor imperfections. Licensed under CC BY 4.0.",6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,
Alibaba-Cluster-Trace-2018,Cloud Computing,"~4,000 machines","~23,040 (for 8 days)",Varies (event-based and time-based),Alibaba Group,https://github.com/alibaba/clusterdata,"An 8-day trace from an Alibaba production cluster, containing information on co-located batch jobs and online services. Includes DAG (Directed Acyclic Graph) dependency information for batch workloads, offering insights into managing mixed workloads and complex job dependencies in a production environment.",Focuses on job dependencies within an 8-day trace of an Alibaba production cluster.,7,3,10,Split into 2 records on 2025-08-01 16:45:41,"Multiple Datasets

The evidence points to two distinct datasets mistakenly sharing the same name. While both relate to Alibaba cluster traces, key differences in data size, scope, and intended use suggest they are separate entities. The LOTSA source describes an 8-day trace focused on job dependencies with ~23,040 time points. Conversely, the TSFM-Core source details a significantly larger dataset (540,000,000 time points) encompassing machine usage and task events without explicitly focusing on dependencies. The distinct links further confirm they are separate datasets.",,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,Y,,,,,
alibaba_cluster_trace_2018,Cloud,Multiple,"540,000,000",Varies,Qingren/TSFM-ScalingLaws-Dataset,https://huggingface.co/datasets/Qingren/TSFM-ScalingLaws-Dataset,"Cluster trace data from Alibaba's production data centers, capturing machine usage, job submissions, and task events, offering insight into the operational dynamics of large-scale commercial cloud infrastructure. Part of a collection of datasets used for training and evaluating Time Series Foundation Models (TSFMs).",Used in the research and development of Time Series Foundation Models; much larger scale than Dataset A.,7,1,10,Split into 2 records on 2025-08-01 16:45:41,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AllGestureWiimoteX,Sensor,1,Unequal,Not specified,"timeseriesclassification.com, cs.ucr.edu",AllGestureWiimoteX Description,This Sensor dataset contains 1-dimensional time series of unequal length. The classification task is to categorize gesture data from a Wii remote's X-axis into one of 10 classes.,Donated by J. Guna. It includes 300 instances for training and 700 for testing.,8,6,10,Auto-reconciled (1 unique source) on 2025-08-01 16:46:15,,,,,,Y,,,,,,,,Y,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,Y,,,,,
AllGestureWiimoteY,Sensor,1,Unequal,Not specified,"timeseriesclassification.com, cs.ucr.edu",AllGestureWiimoteY Description,This Sensor dataset contains 1-dimensional time series of unequal length. The classification task is to categorize gesture data from a Wii remote's Y-axis into one of 10 classes.,Donated by J. Guna. It includes 300 instances for training and 700 for testing.,9,6,10,Auto-reconciled (1 unique source) on 2025-08-01 16:46:16,,,,,,Y,,,,,,,,Y,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,Y,,,,,
AllGestureWiimoteZ,Sensor,1,Unequal,Not specified,"timeseriesclassification.com, cs.ucr.edu",AllGestureWiimoteZ Description,This Sensor dataset contains 1-dimensional time series of unequal length. The classification task is to categorize gesture data from a Wii remote's Z-axis into one of 10 classes.,Donated by J. Guna. It includes 300 instances for training and 700 for testing.,10,6,10,Auto-reconciled (1 unique source) on 2025-08-01 16:46:16,,,,,,Y,,,,,,,,Y,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,Y,,,,,
